player_name,player_id,player_url,nationality,position,age,age_years,team_name,team_id,season
Cristhian Mosquera,dc1ce4f5,/en/players/dc1ce4f5/matchlogs/2025-2026/summary/Cristhian-Mosquera-Match-Logs,ESP,DF,21-245,21,Arsenal,18bb7c10,2025-2026
Ben White,35e413f1,/en/players/35e413f1/matchlogs/2025-2026/summary/Ben-White-Match-Logs,ENG,DF,28-142,28,Arsenal,18bb7c10,2025-2026
Gabriel Jesus,b66315ae,/en/players/b66315ae/matchlogs/2025-2026/summary/Gabriel-Jesus-Match-Logs,BRA,FW,28-330,28,Arsenal,18bb7c10,2025-2026
Kai Havertz,fed7cb61,/en/players/fed7cb61/matchlogs/2025-2026/summary/Kai-Havertz-Match-Logs,GER,MF,26-261,26,Arsenal,18bb7c10,2025-2026
Myles Lewis-Skelly,5dff6c28,/en/players/5dff6c28/matchlogs/2025-2026/summary/Myles-Lewis-Skelly-Match-Logs,ENG,DF,19-154,19,Arsenal,18bb7c10,2025-2026
Ethan Nwaneri,7f94982c,/en/players/7f94982c/matchlogs/2025-2026/summary/Ethan-Nwaneri-Match-Logs,ENG,MF,18-343,18,Arsenal,18bb7c10,2025-2026
Christian Nørgaard,df0a4c90,/en/players/df0a4c90/matchlogs/2025-2026/summary/Christian-Norgaard-Match-Logs,DEN,MF,31-354,31,Arsenal,18bb7c10,2025-2026
Max Dowman,9008bb70,/en/players/9008bb70/matchlogs/2025-2026/summary/Max-Dowman-Match-Logs,ENG,MF,16-058,16,Arsenal,18bb7c10,2025-2026
Andre Annous,2d14071d,/en/players/2d14071d/Andre-Annous,ENG,FW,18-062,18,Arsenal,18bb7c10,2025-2026
Kepa Arrizabalaga,28d596a0,/en/players/28d596a0/Kepa-Arrizabalaga,ESP,GK,31-147,31,Arsenal,18bb7c10,2025-2026
Jakub Kiwior,dc3e663e,/en/players/dc3e663e/Jakub-Kiwior,POL,"DF,MF",26-012,26,Arsenal,18bb7c10,2025-2026
Marli Salmon,3dabb62e,/en/players/3dabb62e/Marli-Salmon,ENG,DF,16-182,16,Arsenal,18bb7c10,2025-2026
Erling Haaland,1f44ac21,/en/players/1f44ac21/matchlogs/2025-2026/summary/Erling-Haaland-Match-Logs,NOR,FW,25-221,25,Manchester City,b8fd03ef,2025-2026
Gianluigi Donnarumma,08f5afaa,/en/players/08f5afaa/matchlogs/2025-2026/summary/Gianluigi-Donnarumma-Match-Logs,ITA,GK,27-002,27,Manchester City,b8fd03ef,2025-2026
Bernardo Silva,3eb22ec9,/en/players/3eb22ec9/matchlogs/2025-2026/summary/Bernardo-Silva-Match-Logs,POR,MF,31-201,31,Manchester City,b8fd03ef,2025-2026
Matheus Nunes,e6af02e0,/en/players/e6af02e0/matchlogs/2025-2026/summary/Matheus-Nunes-Match-Logs,POR,DF,27-184,27,Manchester City,b8fd03ef,2025-2026
Nico O’Reilly,91ca4a16,/en/players/91ca4a16/matchlogs/2025-2026/summary/Nico-OReilly-Match-Logs,ENG,"DF,MF",20-343,20,Manchester City,b8fd03ef,2025-2026
Rúben Dias,31c69ef1,/en/players/31c69ef1/matchlogs/2025-2026/summary/Ruben-Dias-Match-Logs,POR,DF,28-289,28,Manchester City,b8fd03ef,2025-2026
Phil Foden,ed1e53f3,/en/players/ed1e53f3/matchlogs/2025-2026/summary/Phil-Foden-Match-Logs,ENG,MF,25-275,25,Manchester City,b8fd03ef,2025-2026
Tijjani Reijnders,afb61630,/en/players/afb61630/matchlogs/2025-2026/summary/Tijjani-Reijnders-Match-Logs,NED,MF,27-213,27,Manchester City,b8fd03ef,2025-2026
Nicolás González,2c56a792,/en/players/2c56a792/matchlogs/2025-2026/summary/Nicolas-Gonzalez-Match-Logs,ESP,MF,24-055,24,Manchester City,b8fd03ef,2025-2026
Joško Gvardiol,5ad50391,/en/players/5ad50391/matchlogs/2025-2026/summary/Josko-Gvardiol-Match-Logs,CRO,DF,24-035,24,Manchester City,b8fd03ef,2025-2026
Jeremy Doku,fffea3e5,/en/players/fffea3e5/matchlogs/2025-2026/summary/Jeremy-Doku-Match-Logs,BEL,"MF,FW",23-276,23,Manchester City,b8fd03ef,2025-2026
Rayan Cherki,b34c63a5,/en/players/b34c63a5/matchlogs/2025-2026/summary/Rayan-Cherki-Match-Logs,FRA,MF,22-194,22,Manchester City,b8fd03ef,2025-2026
Rodri,6434f10d,/en/players/6434f10d/matchlogs/2025-2026/summary/Rodri-Match-Logs,ESP,MF,29-250,29,Manchester City,b8fd03ef,2025-2026
Abdukodir Khusanov,d17ce930,/en/players/d17ce930/matchlogs/2025-2026/summary/Abdukodir-Khusanov-Match-Logs,UZB,DF,21-363,21,Manchester City,b8fd03ef,2025-2026
Rayan Aït-Nouri,9b398aea,/en/players/9b398aea/matchlogs/2025-2026/summary/Rayan-Ait-Nouri-Match-Logs,ALG,DF,24-266,24,Manchester City,b8fd03ef,2025-2026
Antoine Semenyo,efd2ec23,/en/players/efd2ec23/matchlogs/2025-2026/summary/Antoine-Semenyo-Match-Logs,GHA,"MF,FW",26-051,26,Manchester City,b8fd03ef,2025-2026
Sávio,fe6e7156,/en/players/fe6e7156/matchlogs/2025-2026/summary/Savio-Match-Logs,BRA,MF,21-323,21,Manchester City,b8fd03ef,2025-2026
Oscar Bobb,eed2427e,/en/players/eed2427e/matchlogs/2025-2026/summary/Oscar-Bobb-Match-Logs,NOR,"MF,FW",22-230,22,Manchester City,b8fd03ef,2025-2026
Marc Guéhi,d0706b27,/en/players/d0706b27/matchlogs/2025-2026/summary/Marc-Guehi-Match-Logs,ENG,DF,25-229,25,Manchester City,b8fd03ef,2025-2026
Omar Marmoush,0e0102eb,/en/players/0e0102eb/matchlogs/2025-2026/summary/Omar-Marmoush-Match-Logs,EGY,"FW,MF",27-020,27,Manchester City,b8fd03ef,2025-2026
Nathan Aké,eaeca114,/en/players/eaeca114/matchlogs/2025-2026/summary/Nathan-Ake-Match-Logs,NED,DF,31-009,31,Manchester City,b8fd03ef,2025-2026
John Stones,5eecec3d,/en/players/5eecec3d/matchlogs/2025-2026/summary/John-Stones-Match-Logs,ENG,DF,31-275,31,Manchester City,b8fd03ef,2025-2026
Rico Lewis,b57e066e,/en/players/b57e066e/matchlogs/2025-2026/summary/Rico-Lewis-Match-Logs,ENG,DF,21-098,21,Manchester City,b8fd03ef,2025-2026
James Trafford,259fea27,/en/players/259fea27/matchlogs/2025-2026/summary/James-Trafford-Match-Logs,ENG,GK,23-140,23,Manchester City,b8fd03ef,2025-2026
Max Alleyne,defcfd32,/en/players/defcfd32/matchlogs/2025-2026/summary/Max-Alleyne-Match-Logs,ENG,DF,20-221,20,Manchester City,b8fd03ef,2025-2026
Divine Mukasa,ce7ae86a,/en/players/ce7ae86a/matchlogs/2025-2026/summary/Divine-Mukasa-Match-Logs,ENG,MF,18-189,18,Manchester City,b8fd03ef,2025-2026
Mateo Kovačić,79c0821a,/en/players/79c0821a/matchlogs/2025-2026/summary/Mateo-Kovacic-Match-Logs,CRO,MF,31-297,31,Manchester City,b8fd03ef,2025-2026
Manuel Akanji,89ac64a6,/en/players/89ac64a6/Manuel-Akanji,SUI,"DF,MF",30-223,30,Manchester City,b8fd03ef,2025-2026
Marcus Bettinelli,0d85a4e8,/en/players/0d85a4e8/Marcus-Bettinelli,ENG,GK,33-279,33,Manchester City,b8fd03ef,2025-2026
Ederson,3bb7b8b4,/en/players/3bb7b8b4/Ederson,BRA,GK,32-194,32,Manchester City,b8fd03ef,2025-2026
Charlie Gray,59429fa1,/en/players/59429fa1/Charlie-Gray,ENG,MF,20-005,20,Manchester City,b8fd03ef,2025-2026
İlkay Gündoğan,819b3158,/en/players/819b3158/Ilkay-Gundogan,GER,MF,35-126,35,Manchester City,b8fd03ef,2025-2026
Reigan Heskey,d4ee4622,/en/players/d4ee4622/Reigan-Heskey,ENG,FW,18-040,18,Manchester City,b8fd03ef,2025-2026
Ryan Mcaidoo,8dd0d7c5,/en/players/8dd0d7c5/Ryan-Mcaidoo,ENG,FW,17-248,17,Manchester City,b8fd03ef,2025-2026
Stephen Mfuni,c6685def,/en/players/c6685def/Stephen-Mfuni,ENG,DF,18-015,18,Manchester City,b8fd03ef,2025-2026
Stefan Ortega,c1242d4e,/en/players/c1242d4e/Stefan-Ortega,GER,GK,33-113,33,Manchester City,b8fd03ef,2025-2026
